cargo_volume,temperature,precipitation,traffic_volume,terminal_code,day_of_week,time_block,wait_time_mins
1360.0,29.07848545736219,0,265,HJNC,TUE,00-06,71
1794.0,7.060744626904114,5,142,PNC,SAT,18-24,79
1630.0,6.716867464674539,50,309,HJNC,TUE,00-06,144
1595.0,17.83371764231835,0,590,HJNC,WED,00-06,109
2138.0,18.488269407478086,20,334,PNC,FRI,06-12,143
2669.0,11.117835229660567,20,533,HPNT,WED,12-18,152
966.0,9.93767130486895,0,421,HPNT,TUE,12-18,87
1738.0,12.23664517870472,5,119,PNC,WED,18-24,85
830.0,28.747038477649035,0,428,PNIT,FRI,00-06,116
1982.0,10.75251055642595,0,328,PNC,THU,06-12,67
2635.0,32.29693063864201,20,351,PNIT,MON,12-18,141
3419.0,12.680169361834672,5,304,HJNC,SAT,18-24,102
630.0,32.714031193140116,50,313,HPNT,THU,12-18,151
2185.0,27.477435584108406,0,473,PNIT,TUE,18-24,115
1269.0,6.309409517712311,50,262,PNIT,THU,12-18,187
2891.0,28.86386395834772,50,149,HJNC,WED,18-24,136
2015.0,-5.0471522109498155,50,161,HPNT,FRI,12-18,204
3353.0,31.62712289043565,0,357,HJNC,THU,12-18,132
2933.0,18.423958178730125,0,524,HPNT,THU,00-06,115
1715.0,-7.5524163164959965,0,597,HPNT,FRI,18-24,119
1455.0,18.99155256428652,0,161,HJNC,WED,18-24,81
2824.0,33.84114443651403,20,136,PNIT,MON,00-06,85
1684.0,-6.858970542341698,0,232,PNC,THU,00-06,59
959.0,14.960946940103884,0,214,HPNT,SAT,12-18,76
521.0,23.65074573917176,0,139,HPNT,TUE,12-18,61
2800.0,26.461636401478913,0,504,PNC,SUN,12-18,155
1247.0,8.622235939435814,0,287,PNC,WED,00-06,50
3404.0,-0.8125048374290653,20,583,HJNC,WED,12-18,195
974.0,-8.094597455242727,20,107,HPNT,THU,00-06,69
1582.0,16.087677069375115,0,591,HJNC,SAT,12-18,121
3058.0,10.380998162042484,50,451,PNC,SUN,00-06,184
,32.693497781736994,50,568,HJNC,FRI,18-24,225
3247.0,-7.2727791528290595,0,246,HPNT,SUN,06-12,97
1475.0,20.842790455070258,20,95,PNIT,THU,12-18,93
2306.0,-8.876520004597428,50,579,PNIT,THU,12-18,201
689.0,-2.285462048025577,20,446,HPNT,FRI,00-06,133
3234.0,10.411054996527536,0,123,HJNC,TUE,18-24,67
1062.0,10.46925992612907,0,465,PNC,FRI,18-24,104
2399.0,20.856524432013977,50,384,PNC,THU,12-18,179
1767.0,30.95958656904905,0,345,PNIT,MON,00-06,77
3379.0,18.756447151171436,5,133,HJNC,FRI,00-06,126
2028.0,32.9090794033179,0,64,PNC,TUE,06-12,69
1146.0,29.672703794509893,5,183,PNC,FRI,18-24,98
2568.0,16.30249079888556,5,527,HPNT,FRI,06-12,155
3388.0,27.520637791347227,20,368,HJNC,WED,18-24,147
2714.0,18.91599246456353,0,441,HJNC,WED,12-18,125
1797.0,-6.4648976084322785,20,528,PNC,THU,12-18,145
2935.0,23.325412546677946,50,417,HJNC,THU,00-06,159
1100.0,-5.72912014296942,0,416,HJNC,SUN,00-06,84
2863.0,16.733725125637058,50,337,HJNC,FRI,00-06,209
2561.0,21.6188092636203,0,427,HPNT,MON,18-24,121
741.0,-7.006257630511515,0,512,PNC,SAT,00-06,67
2541.0,0.3857594266939284,20,62,PNIT,THU,12-18,135
3324.0,,20,585,HJNC,FRI,06-12,192
3112.0,17.734152150480337,50,217,PNC,FRI,12-18,210
3445.0,1.0828708464739218,20,319,PNIT,SAT,12-18,183
1863.0,21.080589701660298,20,119,HPNT,FRI,12-18,144
2639.0,16.854938898276032,5,367,PNC,SAT,06-12,132
1890.0,12.570906496307678,0,425,HPNT,SAT,12-18,112
1978.0,33.928413874463764,5,138,PNC,SUN,18-24,82
3056.0,20.7554199833379,20,306,HPNT,FRI,18-24,177
1275.0,6.894849935056069,0,266,PNC,SUN,06-12,57
534.0,26.003304443459058,5,499,HPNT,FRI,18-24,113
2753.0,29.806248181453448,20,593,PNIT,WED,00-06,156
2455.0,-4.365074821742586,20,190,PNC,SAT,18-24,120
2085.0,-0.9751159969630088,0,210,PNIT,TUE,12-18,76
1521.0,-0.2697845892499142,50,81,HJNC,SAT,18-24,132
3113.0,21.104531422394317,0,201,PNIT,TUE,00-06,106
1629.0,17.13677997739775,5,309,PNC,FRI,00-06,100
2000.0,17.854620411436468,5,328,PNIT,THU,00-06,77
1202.0,32.334798486027545,5,334,PNC,MON,12-18,70
2949.0,24.916018976328765,20,591,HPNT,SUN,00-06,189
3277.0,-4.242838396969757,0,197,HJNC,FRI,12-18,134
2079.0,5.637818709133146,20,116,PNIT,MON,00-06,114
661.0,9.592714077908102,20,328,HJNC,WED,12-18,102
701.0,7.8182714936422215,50,492,PNIT,TUE,12-18,184
2481.0,20.118887412284565,0,448,PNC,SUN,12-18,133
1495.0,30.135189646545314,0,177,PNIT,WED,18-24,89
2817.0,3.7723158585254595,5,386,HJNC,THU,00-06,134
1315.0,14.834471138953354,0,531,PNIT,THU,12-18,112
955.0,25.523423986111354,5,235,HJNC,SAT,00-06,64
1775.0,8.72981264804072,20,218,HJNC,SUN,18-24,107
